,count,percentage
Area,143.0,8.59
Perimeter,91.0,5.47
Solidity,11.0,0.66
Eccentricity,6.0,0.36
Circularity,52.0,3.12
Aspect Ratio,91.0,5.47
Convexity,31.0,1.86
Irregularity Index,23.0,1.38
Roundness,32.0,1.92
